question_list,label
kenapa saya tidak bisa akses disney hotstar? keterangannya koneksi saya menggunakan vpn,Problem
apakah *Deco M4 TP-Link Mesh* menggunakan kabel atau wireless?,Unknown
bagaimana cara saya mengetahui IP dari game di pc saya?,Information
apakah biznet Home meyediakan IP static?,Unknown
kenapa jaringan saya suka up down dalam beberapa hari terakhir?,Unknown
"Saya ingin membuka warnet, layanan Biznet apa yang cocok untuk warnet?",Request
apakah untuk layanan 3D mendapatkan ip static?,Unknown
Bisa dibantu langkah untuk mengatur NAT pada playstation?,Request
bagaimana saya cek sisa kuota saya?,Problem
apakah layanan 0D dapat digunakan sampai dengan 10 perangkat?,Unknown
saya ingin mengaktifkan akun saya kembali namun saya terakhir melakukan pembayaran 2 bulan yang lalu. Apakah bisa di bantu?,Information
"saya tidak dapat akses game handphone melalui biznet home 1D, ada saran?",Unknown
saya ingin membeli modem apakah bisa di proses di hari ini?,Request
"Saya ingin membayarkan tagihan melalui bank bsi, apakah bisa?",Information
remote iptv saya rusak,Unknown
Apakah IP akan terganti jika kita restart modem dengan layanan Bizne Home?,Request
berapa biaya pergantian remote IPTV,Information
"Saya ingin mengganti data pada akun layanan saya, bisa dibantu?",Request
berapa lama garansi modem biznet?,Problem
apakah biznet ada sistem kontrak untuk pemasangan baru?,Unknown
bukti pembayaran saya belum terima,Information
Bagaimana cara saya merubah password wifi saya?,Information
Berapa kapasitas bandwidth yang bisa di dapatkan jika saya menggunakan kabel LAN?,Unknown
saya mau cek quota saya,Unknown
bagaimana cara ubah jaringan saya dengan mode bridge,Information
internet saya tidak bisa di gunakan pada macbook saya,Problem
kenapa bandwidth saya tidak sesuai dengan paket yang saya ambil,Unknown
Kenapa saya tidak bisa menggunakan port 525,Problem
bagaimana cara membatasi penggunaan koneksi di modem biznet,Information
Bagaimana cara aktivasi akun MyBiznet?,Information
Internet saya lambat bandwidthnya tidak sesuai,Problem
Bagaimana cara cek ping dan tracert,Information
bagaimana jika saya ingin melakukan penambahan layanan pemasangan di lokasi baru?,Request
Saya mau melakukan perpanjangan wifi,Unknown
saya ingin tau promo yang berlaku,Information
Berapa nomor virtual account untuk melakukan pembayaran.,Information
Nomor virtual account BSI,Unknown
info masa tenggang,Information
cara perpanjang,Information
cara langganan iptv gimana,Information
bisa combo sama home 0d ngga,Unknown
kalau dicombo sama 1d bisa?,Unknown
jadi total tagihan aku kalau sama IPTV berapa?,Information
lupa email login aplikasi,Unknown
Mau tanya kok tempat saya ssidnya hilang ya ?,Unknown
"sudah, tapi masih hilang",Unknown
parameter modem normal apa,Problem
pon blinking,Unknown
mau downgrade,Unknown
"kalau downgrade sekarang, masa aktifku gimana?",Unknown
masa aktifku sampai kapan?,Unknown
berarti ngga bisa downgrade sekarang ya?,Unknown
paket yang lebih rendah dari yg kupakai sekarang ada apa aja?,Unknown
ada kompensasi ngga kalau nanti ada kendala,Unknown
kalau mau minta invoice gimana,Request
kalau ngga bisa bayar lebih dari 45 hari gimana min,Information
kok ga bisa akses situs perbankan,Unknown
min mau daftar untuk di  JL TLK LAMPUNG,Unknown
di lampung ada paket apa aja,Information
biaya instalasi sama modem berapa?,Information
ada promo apa aja untuk lampung,Information
"cara pasang baru, di JL PULAU SULAWESI",Information
sulawesi ada paket apa aja,Information
kalau mau relokasi gimana,Request
mau ubah status modem jadi buy min,Problem
mau ikut promo,Information
cara login ke aplikasi gimana,Information
cara beli ekstra kuota gimana,Information
itu kapan resetnya,Request
mau terminasi,Request
min sewa sama beli modem bedanya apa,Problem
min portnya keblokir,Unknown
tipe kabelnya apa min,Unknown
biznet jualan router ngga biar sinyal jauh,Problem
mau pindah modem cuman geser dikit gimana caranya,Information
"min, TV ngga ada channel",Unknown
ada internet ngga bisa browsing,Unknown
min dns biznet apa,Unknown
ngga bisa kirim email pakai internet biznet,Request
username password pppoe aku apa,Unknown
mau setting modem sendiri gimana caranya,Information
cara tau vlan id gimana min,Information
bisa nambah modem lagi min?,Problem
harga pasang baru di lokasi sama min,Information
ada paket apa aja min,Information
Mau cek kuota dong,Problem
Paket biznet,Unknown
Cara login ke aplikasi genana ?,Information
Web biznet,Unknown
Halo internet saya down bisa di bantu cek?,Unknown
internet down sejak semalam,Unknown
Kalo beli modem beraps,Problem
Min informasi paket yang bisa 10 device,Information
Cara download aplikasi my biznet dimana,Information
Saya ingin berlangganan namun bingung harus mulai darimana?,Request
Cara mengetahui alamat sudah tercover atau belum gimana?,Information
Jalan aster blok d5 no6 kelurahan sukatani kecamatan tapos kota depok kode pos 16454 apakah sudah tercover jaringan interner Biznet?,Unknown
Untuk proses selanjutnya jika alamat tempat tinggal saya sudah tercover jaringan Biznet seperti apa atau bagimana?,Unknown
jl. kerajinan 1 puri bunga amanah blok c/13 udah ke cover belum,Unknown
"Saya sudah membuka website Biznethome.net namun tidak menemukan menu pendaftaran, bisa dibantu?",Request
Min internet lambat,Problem
"Min internet dirumah indikator LOS nya merah, kenapa ya?",Problem
Kalau internet lambat disebabkan apa min,Problem
Perbedaan IP Biznet Home 0D sama Gamers 3D apa min,Unknown
Cara ganti nama akun gimana,Information
"Kalau ganti nama akun, ada biaya nya engga?",Information
Pengen ganti paket 25 Mbps ada ga?,Request
harga biznet home 1 D berapa?,Information
harga biznet home 1D berapa?,Information
"Internet down, bagaimana ni?",Unknown
Cara ganti password secara mandiri gmna,Information
Min modem saya gak mau nyala,Problem
Biznet home ada batas pembayaran ga?,Information
Internet down nih,Unknown
internet down nih gemana ?,Unknown
Min kalau modem rusak gimana ya?,Problem
Min saya bisa ga menonaktifkan layanannya dulu 2 bulan,Unknown
Jika sedang terjadi gangguan massal atau kendala area dari sisi Biznet apakah pelanggan akan dapat informasi terkait hal tersebut tanpa harus menanyakan?,Information
Biznet ada layanan free wifi di tempat umum ga?,Unknown
"Saya ingin menggunakan cctv, paket layanan biznet home apa yang cocok untuk penggunaan cctv?",Request
Min Biznet ada perangkat buat memperluas jangkauan Wifi engga?,Unknown
Min layanan Biznet home bisa buat RT RW net engga?,Unknown
"Min saya dibatam, kena PPN 11% ga?",Unknown
Kapan sebaiknya saya melakukan perubahan paket layanan internet saya?,Unknown
Min reset FUP tanggal berapa,Request
Saya ingin merubah skema penggunaan modem saya saat ini dari sewa menjadi beli apakah bisa?,Request
Jika saya melakukan pembelian modem apakah biaya sewa yang selama ini dikenakan akan hilang? dan apa keuntungan yang pelanggan dapatkan dari melakukan pembelian modem?,Information
Kalau berhenti berlangganan gimana caranya,Information
Biaya relokasi berapa min?,Information
Apakah ada garansi pergantian modem jika terjadi kerusakan jika saya baru melakukan pembelian modem?,Request
Ada garansi untuk perangkat *TP-Link Deco M4 Smart Internet Mesh WiFi* setelah pembelian ga,Unknown
Berapa lama waktu yang dibutuhkan untuk melakukan pembelian modem?,Request
"Jika saya tetap menggunakan modem dengan skema, dan terjadi kerusakan pada modem, apakah bisa dilakukan perbaikan atau pergantian untuk modemnya?",Request
ada garansi untuk perangkat Set top Box untuk Biznet IPTV ga min,Unknown
"Min tolong kirimkan teknisi kelokasi, modem saya LOS",Request
Min kalau pindahin perangkat ke sebelah rumah bayar ga?,Information
Min kirimin pricelist paket internet,Request
"Internet saya sangat lambat, apakah dapat dibantu dioptimalkan?",Problem
Min di App MyBiznet bisa beli promo engga?,Information
"Min saya punya 2 perangkat dengan ID layanan yang berbeda, tapi ko di app MyBiznet cuma 1 yang terbaca",Unknown
Kenapa speed upload dan download jaringan internet biznet saya tidak simetris?,Unknown
Min kalau ganti paket tapi cuma 2 hari bisa engga?,Request
Untuk perubahan paket layanan membutuhkan waktu berapa lama?,Request
"Min saya sewa modem biznet, tapi pengen ganti modem baru bisa engga?",Request
Apakah mybiznet sudah tersedia di playstore atau appstore?,Unknown
Bagaimana cara login ke MyBiznet apakah ada tutorial atau langkah langkahnya?,Information
"Saya ingin melakukan relokasi, namun untuk lokasi baru saya belum tercakup jaringan internet biznet, apa yang harus saya lakukan?",Request
Min cara liat ID pembayaran dimana,Information
"Saya melakukan salah bayar tagihan hanya karena salah 1 digit saat memasukan nomor billing ID, apakah ada solusi?",Information
"Saya melakukan pembayaran tagihan internet Biznet namun nominal nya kelebihan, apakah pembayaran saya tetap di proses?",Information
Cara memblokir pengguna wifi gimana,Information
Berapa harga perbulan untuk layanan IPTV dan apakah saya perlu melakukan pembelian alatnya?,Information
Ada berapa channel yang tersedia pada layanan IPTV Biznet?,Unknown
Min kalau saya pake perangkat modem temen saya bisa ga? sama sama biznet,Problem
"Halo, bagaimana cara berlangganan?",Information
"iya saya memerlukan bantuan, boleh berbicara dengan live agent?",Information
halo,Unknown
"layanan saya Biznet 3D, saat akses game cukup lambat, namun akses youtube normal, ada solusinya ga?",Problem
Halo saya ingin menghubungi customer service,Request
apakah Deco M4 TP-Link Mesh bisa digunakan untuk bangunan bertingkat?,Unknown
saya mau topup,Unknown
saya mau renewal,Unknown
Customer Service,Unknown
Masa aktif saya brp?,Unknown
btn_chat_live_agent,Unknown
hubungi live agent,Unknown
mo beli extra quota,Unknown
itu (kuota FUP) kapan resetnya,Request
"min, ada beberapa channel TV yang ilang",Unknown
Apakah saya bisa datang langsung datang ke cabang Biznet terdekat dari lokasi saya untuk menanyakan terkait ingin melakukan pendaftaran jaringan internet Biznet dirumah saya?,Request
Ada garansi untuk perangkat TP-Link Deco M4 Smart Internet Mesh WiFi setelah pembelian ga,Unknown
min kendala ke facebook berikut hasil tracert : Tracing route to facebook.com [31.13.95.35]\nover a maximum of 30 hops:\n\n  1     1 ms    <1 ms    <1 ms  192.168.240.1\n  2     1 ms     2 ms     1 ms  172.16.4.2\n  3     3 ms     5 ms     3 ms  202.169.33.1\n  4     3 ms     3 ms     3 ms  182.253.255.90\n  5     3 ms     6 ms     3 ms  ae0.pr03.cgk1.tfbnw.net [157.240.86.242]\n  6     2 ms     2 ms     2 ms  po203.asw02.cgk1.tfbnw.net [129.134.39.48]\n  7     2 ms     2 ms     3 ms  psw01.cgk1.tfbnw.net [129.134.58.47]\n  8     2 ms     2 ms     2 ms  msw1ag.02.cgk1.tfbnw.net [129.134.91.183]\n  9     2 ms     2 ms     2 ms  edge-star-mini-shv-02-cgk1.facebook.com [31.13.95.35],Unknown
"ow gitu coy, kalo masih lambat gimana",Problem
Internet saya down bisa di cek?,Unknown
apakah jika modem rusak bisa diganti dengan yang baru?,Request
apakah bisa request untuk pembayaran setiap ditanggal tertentu?,Information
bagimana prosedur berhenti berlangganan IPTV?,Unknown
bagimana cara add on extra kouta?,Information
channel tv yang tersedia dibiznet apa saja?,Unknown
apakah jaringan biznet bisa dikomersilkan?,Unknown
Apakah ada diskon untuk pembelian modem?,Problem
cara request perapihan kabel,Information
Estimasi kedatangan teknisi,Unknown
jika modem saya rusak apa indikasinya?,Problem
Internet di lokasi lama buat main mobile legends,Unknown
Internet down,Unknown
apakah akun kompliment jika ingin relokasi dikenakan biaya?,Information
layanan IPTV dapat channel apa saja?,Unknown
jika saya ingn tambah mikrotik apakah bisa?,Unknown
sebagai router tambahan,Problem
saya ingin ubah layanan apakah bisa dibantu,Request
bagaimana cara optimalkan jaringan secara mandiri?,Information
bagaimana jika saya putus jaringan sebelum masa kontrak?,Problem
bagaimana saya tahu wifi saya diretas orang lain?,Unknown
apakah modem biznet support 6G?,Problem
apakah jika saya pindah ke malaysia jaringan Biznet saya bisa ikut dipindah?,Unknown
apakah biznet ada paket yang harganya 150.000?,Information
apakah saya bisa ubah nomor telepon?,Unknown
apakah ada promo perpanjangan layanan?,Information
jika saya ingin daftar biznet untuk kosan baiknya menggunakan layanan yang mana?,Request
Apakah layanan metronet bisa untuk rumahan?,Unknown
saya butuh layanan dengan IP yang tidak berubah ubah,Request
jika saya pakai paket gamers apakah IP yang saya dapat akan berubah ubah?,Unknown
kalau saya pakai IP Public Dynamic akan terreset per kapan?,Request
"jika saya tidak bayar bulanan selama 1 bulan, apakah akunnya masih bisa dilanjutkan?",Information
jika kabel modem saya putus karna digigit tikus apakah perbaikannya akan berbayar?,Information
apakah biznet ada kompensasi jika internet saya mati berhari2?,Problem
kenapa jaringan saya bermasalah akhir akhir ini?,Problem
apakah boleh saya reset modemnya?,Request
internet saya lambat sekali kalau akses ke google.com,Problem
kenapa lan saya tidak terhubung ke port 1 modem?,Problem
apakah biznet bisa blok 1 web?,Unknown
apakah teknisi biznet bisa setting router tambahan saya?,Problem
apakah biznet menyewakan stb?,Unknown
cabang biznet area jaksel,Unknown
i want to buy extra quota,Unknown
Internet saya mati,Problem
promo ada ?,Information
8+4 gaada min?,Unknown
kira kira 8+4 kapan tersedia nya ya?,Unknown
mau promo 2+1,Information
Internet down min,Unknown
Internet terputus min,Problem
Internet Down min,Unknown
mo relokasi,Request
mo ganti paket,Request
saya mau beli quota,Unknown
i want to buy quota,Unknown
Inet down,Unknown
kendala lambat,Problem
bisa informasikan untuk pengajuan sponsorship ke Biznet?,Information
berapa harga pemasangan awal untuk layanan biznet home internet 1d untuk wilayah depok,Information
i want to buy promo,Information
total setelah ppn dan beli modem,Problem
Kapan untuk perluasan cakupan area Biznet yang saat ini belum tercover?,Unknown
i want to relocation,Unknown
saya mau relokasi,Request
Bisa informasikan bandwidth yang didapatkan apabila berlangganan Home Internet 1D?,Information
Boleh tanya min?,Unknown
Ciri ciri tiang biznet warna apa soalnya ada tiang miring dijalanan?,Unknown
Harga paket 0D berapa?,Information
aKlau remote IPTV rusak order kembali biayanya berapa?,Information
Kalo harga paket 1D berapa?,Information
Cara cek nomor SN biznet dimana?,Information
Beli promo,Information
Kalo harga paket 2D berapa?,Information
Biznet apakah bisa berlangganan untuk lokasi high rise?,Unknown
"Sebutkan akun sosisal media layanan Biznet seperti x, facebook  dan instagram?",Unknown
Kalo harga paket gamers 3D berapa?,Information
Apakah biznet home sudah menggunakan kabel fiber optic?,Unknown
PPN nya berapa persen min?,Unknown
Dimana lokasi store branch biznet cimandala bogor?,Unknown
Ada FUP ga min?,Unknown
Estimasi kendala internet down untuk kunjungan berapa lama?,Unknown
Apakah Biznet menjual perangkat router tambahan untuk support jangakuan koneksinya?,Problem
"Kalo mau pasang, apakah ada biaya pasang min?",Information
Ada FUP ga?,Unknown
Mau relokasi,Request
Harga paket 0D berapa min?,Information
kalo harga paket 1D berapa min?,Information
kalo harga paket 2D berapa min?,Information
"kalo untuk main game, cocoknya paket apa ya min?",Information
Bukannya ada paket gamers ya min?,Unknown
Kuota itu FUP ya min?,Problem
Sebutkan alasan kenapa saya harus pakai layanan Biznet?,Unknown
Apakah biznet menyediakan wifi portable?,Unknown
"min, ciri ciri tiang biznet gimana?",Unknown
Kira kira kalau Biznet maintenance apakah customer mendapatkan notifikasinya?,Unknown
Kalau Saya mendapatkan Ping tinggi karena lambat apakah bisa dilakukan visit langsung?,Problem
untuk daerah Sulawesi sudah ada layanan Biznet belum min?,Unknown
Bisa informasikan bandwidth yang diterima Home Internet 1D?,Information
Paket apa yang tersedia untuk daerah sulawesi min?,Information
Berikan alasan keapa kunjungan visit saya melebihi estimasi 1x24 jam atas kendala internet down?,Unknown
Sebutkan nama merk modem Biznet?,Problem
Untuk daerah papua sudah ada layanan Biznet belum min?,Unknown
Nomor customer service Biznet berapa min? saya mau telpon,Unknown
Apakah kabel indihome lama bisa di pakai untuk kabel internet?,Unknown
koneksi agak anu ni,Unknown
sudah restart masih lambat,Problem
Untuk layanan Home apakah FUP atau unlimited?,Unknown
Bisa informasikan dikenakan  berapa pajak pada layanan Biznet?,Information
Bisa informasikan store Biznet atau Branch terdekat dari bandara soekarno hatta?,Information
Apakah Harga layanan Biznet berubah-ubah?,Information
Bagaimana langkah-langkah saya untuk konfirgurasi modem secara mandiri?,Information
untuk area jakarta ada gamers 3dw?,Unknown
Bisa informasikan cara berlangganan?,Information
Apakah bisa downgrade layanan dari Biznet Metronet ke Biznet Home?,Unknown
Mau mengadukan layanan.,Unknown
Internet lambat banget,Problem
ada promo,Information
cek quota,Unknown
internet lambat,Problem
Hi daerah rumah saya sudah tercover?,Unknown
halo internet saya down sejak semalam,Unknown
paket 1D berpa ?,Unknown
biaya pasang baru berapa?,Information
Biaya relokasi biznet home?,Information
merk kabel lan yang bagus,Unknown
promo 2d home modem buy berapa?,Information
paket 1D,Unknown
harga paket 1d,Information
harga pasang baru,Information
cara berhenti berlangganan,Information
ingin ikut promo 1D modem rent,Information
harga modem,Information
cara berlangganan,Information
apakah ada denda berlangganan?,Unknown
Terkait permintaan pengajuan sponsopship,Request
Kenapa layanan IPTV untuk channel HBO tidak ada?,Unknown
tanggal berapa biasanya akan terdebet untuk kartu kredit yang terdaftar di biznet?,Unknown
Paket gamers,Unknown
Harga paket gamers biznet,Information
tanggal berapa biasanya dilakukan pembayaran auto debet untuk kartu kredit yang terdaftar di Biznet?,Information
Berapa jenis paket gamers biznet?,Unknown
bisa dicek ID pelanggan ini 1000? LOS merah menyala,Problem
Apakah akan dikenakan biaya tambahan jika alamat instalasi menggunakan jalur kabel bawah tanah?,Information
Mo beli quota,Unknown
internet cepat,Unknown
Hi kalo ingin ikut promo 3+1 gmn cara nya?,Information
putus sambung,Problem
promo bhi 1d,Information
Lemot ini,Problem
daftar biznet hom e,Unknown
daftar biznet home,Unknown
udah restart msh lemot,Problem
Apakah saya bisa bekerja di Biznet,Unknown
"Terima kasih, apakah kamu tahu Biznet didirikan oleh siapa?",Unknown
Cakupan bojong gede,Unknown
Internet saya ga gacor nih lambat mulu,Problem
ganti paket,Request
Cara pendaftaran,Information
mohon info paket apa saja,Information
internet down,Unknown
Lambat,Problem
Sudah dilakukan semua tapi masih lambat,Problem
Ada kendala di lokasi saya apa tidak ya,Unknown
Internet Saya Down loss merah,Problem
tapi saya di area Bekasi,Unknown
Cek harga layanan Biznet,Information
koneksi lambat,Problem
batalkan ganti paket,Request
saya mau tanya harga bulanan,Information
berapa harga bulanan paket saya,Information
saya ingin pasang baru alkun tambahan,Request
apakah bisa?,Unknown
"di jalan kota mas, di jalan utama ciawi cianjur",Unknown
internet lemot,Problem
masa aktif,Unknown
kuota saya saat ini,Problem
saya mau tau harga paket saya,Information
sudah tapi masih lambat,Problem
apakah berarti paket saya gratis?,Unknown
apakah saya bisa menggunakan promo untuk paket saya?,Information
kalau hanya punya 4 perangkat tp koneksi saya RTO terus ke arah facebook.com kira2 kenapa ya ?,Unknown
"ok, apakah saya sebaiknya ganti ISP saja?",Request
ok pakte apa yang kamu sarankan?,Unknown
berapa bandwidth paket yang saya gunakan?,Unknown
"kalau saya ingin ganti paket, paket mana saja yang bsia saya gunakan",Request
harga paling murah berapa?,Information
Cek FUP,Unknown
top up fup,Unknown
Perubahan layanan,Unknown
Cek jaringan,Unknown
Status koneksi saya,Unknown
Harga modem berapa ?,Information
Jenis paket layanan biznet home,Unknown
customer service,Unknown
harga promo biznet ada?,Information
Owh oje kalok di tambah router bisa gak ?,Problem
Tambah router mesh wifi,Problem
cara pilih nya gimana,Information
Mau pesen lewat cs dong,Unknown
kalau mau beli promo 3+1 gimaa caranya,Information
Oke saya sekarang mau beli promo,Information
Thank you kalok saya mau ganti paket bisa ?,Request
Lsyanan saya expired kapan ?,Unknown
Ciri tiang biznet apa ya ?,Unknown
Kalok mau bayar bisa lewat mana ?,Information
Berapa nomer va saya?,Unknown
Ada paket untuk main game gak ?,Unknown
internet down min,Unknown
Ada promo apa aja ya,Information
Kalo pengen 3+1 gmn,Unknown
Kalo promo 6+2,Information
Nanya promo,Information
Untuk coverage area di lenteng agung jakarta selatan ada ngga,Unknown
Kalo beli ekstra kuota gmn,Problem
Untuk paket apa aja ?,Information
Klo kuota abis bagaimana ?,Problem
Untuk password apps nya apa ?,Unknown
Kalo change package gmn min,Information
Saya lupa passwordnya,Unknown
Pake password default salah,Unknown
Cukup min bisa di akhiri chat nya,Unknown
saya mau tanya perihal layanan,Unknown
Untuk koneksi agak intermitten y,Unknown
Dan aplikasi wifi analyzernya apa ?,Unknown
Ini gimana caranya,Information
Kita udah install analyzer aman ngga ada masalah,Problem
Channel juga sudah dirubah,Unknown
Cara liat jumlah penggunanya gimana,Information
Username dan pass adminnya apa ?,Unknown
Cek coverage,Unknown
Cek  overage,Unknown
Cara mengganti paket gimana,Information
Saya mau pasang di banten bis acek coveratge ?,Unknown
saya mau tanya untuk caranya gimana?,Information
Paket apa saja pilhannya ?,Information
Terus klaok dinpekan baru bisa oakek paket apa ?,Information
"Di modem saya ada los merah nih, harus ngapain ya?",Problem
Paket apa aja yg tersedia ?,Information
Pasang baru berapa?,Unknown
Cara mengajukan pergantian modem bagaimana?,Information
Masalah teknis,Problem
Estimasi kunjungan teknisi biasanya kapan?,Unknown
Estimasi relokasi biasaya berapa hari?,Request
internet saya lambat cuma dapet 10mbps,Problem
Saya mau cek promo yang tersedia hari ini layanan Biznet Home.,Information
Apakah harga layanan Biznet Home flat?,Information
cara melakukan ping dan tracert itu bagaimana?,Information
Apakah Biznet buka lowongan untuk magang?,Unknown
Bisa dibantu ping ke google.com?,Request
"Saya gapunya laptop, bisa tolong ping ke google.com?",Request
"Layanan internet saya lambat, boleh diinformasikan penyebab dan solusinya?",Information
kalo ingin terminasi gimana caranya?,Information
estimasi layanan jika melakukan terminasi berapa lama?,Request
Halo Biznet,Unknown
Saya ingin mengetahui cara cek IP layanan Biznet home saya.,Information
Promo saat ini apa aja?,Information
apakah tidak ada promo 2+1?,Information
"Internet saya untuk bermain game genshin impact ping tinggi, apakah ada solusi?",Unknown
jika ingin mengetahui ip yang saya gunakan bagaimana?,Request
Boleh diinformasikan paket Gamers ada apa saja?,Information
reset FUP biasanya dilakukan kapan?,Request
"Saya ada keperluan ganti paket tapi masih panjang masa aktifnya, apakah bisa diproses sekarang?",Request
jika ada los merah pada modem saya itu kenapa?,Problem
saya ingin melakukan pembayaran bisa lewat mana saja?,Information
"Saya mau terminasi layanan, bagainmana prosesnya?",Request
Relokasi apabila tidak tercover bagaimana?,Request
bisa diinformasikan VA untuk bank yang tersedia?,Information
"Bisa dicek untuk coverage area alamat berikut: Kp. Pada Beunghar, Rt.03/05, Kel.Babakan Pasar, Kec. Bogor tengah, Kota Bogor, 16126",Unknown
"Internet saya tidak stabil, apakah ada kendala?",Unknown
Apakah kecepatan Internet Biznet Home tetap konstan sepanjang waktu?,Unknown
Bisakah saya menggunakan layanan Biznet Home untuk bisnis/perusahaan?,Unknown
Apakah Terdapat Garansi pada Perangkat Smart Internet WiFi ?,Unknown
"Layanan saya terkendala down, estimasi perbaikannya kapan ya?",Unknown
bagaimana cara cek ping dan tracert?,Information
Latency untuk layanan biznet home normalnya berapa ya?,Unknown
Apa yang memengaruhi latency tinggi?,Unknown
Apakah ada rekomendasi penggunaan tipe kabel LAN?,Unknown
Modem Biznet tipenya apa saja?,Problem
Rekomendasi perangkat tambahan untuk memperluas jangkauan wifi apakah ada?,Unknown
"Jika tidak tercover alamat saya, biasanya sampai kapan harus menunggu?",Unknown
Jangkauan sinyal wifi biznet optimalnya berapa?,Unknown
Apakah ada ketentuan untuk berlangganan kembali,Unknown
Apakah ada ketentuan untuk rekoneksi layanan yang sudah lama tidak dibayarkan?,Information
Mengapa layanan biznet Home sering terjadi kendala area?,Unknown
cek jaringan,Unknown
karena internet down,Unknown
mau beli add on,Unknown
beli add on,Unknown
mau beli kuota,Problem
mau beli quota,Unknown
harga paket 0D,Information
harga paket 1D,Information
harga paket 2D,Information
saya mau beli promo,Information
harga paket 3D,Information
harga paket 0DS,Information
harga paket 1DS,Information
harga paket 2DS,Information
harga paket 3DS,Information
harga paket 0DW,Information
harga paket 1DW,Information
harga paket 2DW,Information
harga paket 3DW,Information
harga paket 1DN,Information
harga paket 2DN,Information
harga paket 3DN,Information
berapa harga pembelian modem,Information
berapa harga modem menyewa,Information
apakah jika berlangganan dikenakan masa kontrak,Unknown
"bagaimana jika ingin perpindahan modem, namun alamat barunya tidak tercakup",Request
bagaimana cara perpindahan modem ke lokasi yang baru,Information
Apakah biznet menyediakan layanan dengan TV channel,Unknown
Apakah ada channel HBO,Unknown
apakah ada garansi pembelian modem di awal,Problem
berapa harga STB,Information
apakah ada garansi untuk pembelian STB,Unknown
apakah biznet memiliki tanggal jatuh tempo,Unknown
apakah yang akan terjadi jika sudah melewati masa tenggang,Unknown
assalamualaikum,Unknown
Salam sejahtera,Unknown
"jika status akun sudah terminasi, apakah bisa berlangganan lagi?",Request
saya mau relokasi ke dalung,Request
eh gajadi saya mau upgrade aja ke paket gamers,Unknown
apakah akan dikenakan biaya?,Information
apakah akan dikenakan denda jika ada keterlambatan pembayaran,Information
Gak tau males pengen beli truck,Unknown
apakah layanan biznet memiliki kompensasi,Unknown
lalu bagaimana jika kendalanya lama teratasi dan tidak ada kompensasi,Unknown
apakah download dan uploadnya simetris,Unknown
apakah bisa menambahkan akun dengan data yang sama,Unknown
"bagaimana jika ada kesalahan pembayaran, apakah bisa direfund",Information
apakah bisa melakukan pergantian paket,Request
apakah bisa melakukan pergantian data,Request
apakah jika dilakukan perbaikan teknisi ke lokasi dikenakan biaya,Information
berapa lama estimasi perbaikan gangguan,Problem
Apakah dikenakan biaya jika ingin perubahan paket,Information
berapa hari perhitungan masa aktif,Unknown
berapa harga pembelian modem layanan home?,Information
apakah biznet memiliki promo pembayaran,Information
Berapa biaya untuk pengajuan relokasi?,Information
apakah bisa memanggil teknisi biznet untuk memasangkan router tambahan,Problem
Berapa biaya untuk pengecekan layanan di luar segmentasi biznet?,Information
Benefit yang didapatkan untuk paket 0D?,Unknown
Berapa Bandiwdth yang didapatkan di paket Biznet Home 1D?,Unknown
"halo, saya ingin berlangganan internet & tv",Request
kendala jaringan internet modem los merah,Problem
bagiamana cara cek FUP paket?,Information
jalan Gajah nomor 114\nkel Pandau Hulu II\nkec Medan Area\nkota Medan,Unknown
apakah biznet home mengeluarkan invoice,Unknown
bagaimana cara mengetahui jika ada gangguan,Information
cara ganti password secara mandiri?,Information
biaya per bulan berapa?,Information
apakah biznet ada pemblokiran IP,Unknown
cara order promo secara mandiri?,Information
paket internet dan tv berapa per bulan?,Unknown
IP apa yang saya dapatkan jika berlangganan layanan Biznet Gamer 3D?,Unknown
penyebab jaringan slow?,Unknown
Berapa harga layanan IPTV?,Information
apakah biznet melakukan pemblokiran IP tertentu,Unknown
apakah ganti paket akan mengakumulasikan masa aktif yang sedang berjalan?,Request
Bagaimana untuk perhitungan masa aktif layanan?,Unknown
order promo yang tersedia saat ini?,Information
Bagaimana untuk perhitungan kouta internet kita?,Unknown
bagaimana jika kita telat melakukan pembayaran apakah adanya denda?,Information
Apakah bisa melakukan berhenti berlangganan apabila masih dalam masa kontrak?,Unknown
Apakah bisa menggunakan DNS selain dari Biznet?,Unknown
estimasi waktu pembayaran jika melakukan order promo?,Information
beli kuotq,Unknown
beli addon,Unknown
Cara ganti password mandiri gimana?,Information
halo saya mau beli quota lagi,Unknown
mau beli promo,Information
mau relokasi,Request
mau ganti paket,Request
mau order promo,Information
Mai order promo,Information
Hi sisa ekstra kuota saya brp?,Problem
jika ingin tambah ekstra kuota gmn?,Request
lambat banget main ayodance,Problem
Internya loss merah kak,Problem
Indikator loss di modem,Problem
Internet lambat,Problem
Apakah saya bisa berlangganan hanya 3 bulan saja dengan skema modem menyewa?,Problem
"Hallo siang, saya mau berhenti berlangganan karena mau pindah alamat",Unknown
"Hallo, saya mau tanya mengapa masa aktif habisnya tidak selalu sama dan terkadang maju ?",Unknown
"Jika ingin reloksi ke alamat barun dan alamat baru saya sudah tercakup, syaratnya apa saja?",Request
"hallo,saya ingin melakukan pengecekan FUP akun layanan saya",Request
"Jika saya melakukan pergantian paket dan masa aktif saya masih tersisa dipaket sebelumnya, apakah sisa masa aktif tersebut akan hangus?",Request
